s9	s10	s11	s12	s13	s14	s15	s16	toggle_black
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
2	0	0	0	0	0	0	0	1
4	0	0	0	0	0	0	0	1
7	0	0	0	0	0	0	0	1
7	0	0	0	0	0	0	0	1
8	0	0	0	0	0	0	0	1
8	0	0	0	0	0	0	0	1
9	0	0	0	0	0	0	0	1
9	0	0	0	0	0	0	0	1
9	0	0	0	0	0	0	0	1
9	0	0	0	0	0	0	0	1
10	0	0	0	0	0	0	0	1
10	0	0	0	0	0	0	0	1
12	0	0	0	0	0	0	0	1
13	0	0	0	0	0	0	0	1
13	0	0	0	0	0	0	0	1
14	0	0	0	0	0	0	0	1
15	0	0	0	0	0	0	0	1
17	0	0	0	0	0	0	0	1
22	0	0	0	0	0	0	0	1
22	0	0	0	0	0	0	0	1
23	0	0	0	0	0	0	0	1
24	0	0	0	0	0	0	0	1
24	0	0	0	0	0	0	0	1
26	0	0	0	0	0	0	0	1
30	0	0	0	0	0	0	0	1
31	0	0	0	0	0	0	0	1
31	0	0	0	0	0	0	0	1
32	0	0	0	0	0	0	0	1
32	0	0	0	0	0	0	0	1
33	0	0	0	0	0	0	0	1
34	0	0	0	0	0	0	0	1
35	0	0	0	0	0	0	0	1
35	0	0	0	0	0	0	0	1
35	0	0	0	0	0	0	0	1
35	0	0	0	0	0	0	0	1
36	0	0	0	0	0	0	0	1
36	0	0	0	0	0	0	0	1
36	0	0	0	0	0	0	0	1
36	0	0	0	0	0	0	0	1
37	0	0	0	0	0	0	0	1
38	0	0	0	0	0	0	0	1
40	0	0	0	0	0	0	0	1
41	0	0	0	0	0	0	0	1
41	0	0	0	0	0	0	0	1
41	0	0	0	0	0	0	0	1
41	0	0	0	0	0	0	0	1
41	0	0	0	0	0	0	0	1
40	0	0	0	0	0	0	0	1
40	0	0	0	0	0	0	0	1
40	0	0	0	0	0	0	0	1
40	0	0	0	0	0	0	0	1
41	0	0	0	0	0	0	0	1
41	0	0	0	0	0	0	0	1
43	0	0	0	0	0	0	0	1
44	0	0	0	0	0	0	0	1
44	0	0	0	0	0	0	0	1
45	0	0	0	0	0	0	0	1
45	0	0	0	0	0	0	0	1
45	0	0	0	0	0	0	0	1
46	0	0	0	0	0	0	0	1
46	0	0	0	0	0	0	0	1
46	0	0	0	0	0	0	0	1
46	0	0	0	0	0	0	0	1
46	0	0	0	0	0	0	0	1
47	0	0	0	0	0	0	0	1
48	0	0	0	0	0	0	0	1
49	0	0	0	0	0	0	0	1
51	0	0	0	0	0	0	0	1
52	0	0	0	0	0	0	0	1
53	0	0	0	0	0	0	0	1
54	0	0	0	0	0	0	0	1
56	0	0	0	0	0	0	0	1
56	0	0	0	0	0	0	0	1
57	0	0	0	0	0	0	0	1
58	0	0	0	0	0	0	0	1
58	0	0	0	0	0	0	0	1
59	0	0	0	0	0	0	0	1
59	0	0	0	0	0	0	0	1
63	0	0	0	0	0	0	0	1
66	0	0	0	0	0	0	0	1
66	0	0	0	0	0	0	0	1
66	0	0	0	0	0	0	0	1
66	0	0	0	0	0	0	0	1
69	0	0	0	0	0	0	0	1
69	0	0	0	0	0	0	0	1
69	0	0	0	0	0	0	0	1
69	0	0	0	0	0	0	0	1
70	0	0	0	0	0	0	0	1
70	0	0	0	0	0	0	0	1
72	0	0	0	0	0	0	0	1
72	0	0	0	0	0	0	0	1
73	0	0	0	0	0	0	0	1
73	0	0	0	0	0	0	0	1
73	0	0	0	0	0	0	0	1
73	0	0	0	0	0	0	0	1
73	0	0	0	0	0	0	0	1
73	0	0	0	0	0	0	0	1
73	0	0	0	0	0	0	0	1
74	0	0	0	0	0	0	0	1
79	0	0	0	0	0	0	0	1
81	0	0	0	0	0	0	0	1
81	0	0	0	0	0	0	0	1
82	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
83	0	0	0	0	0	0	0	1
84	0	0	0	0	0	0	0	1
84	0	0	0	0	0	0	0	1
84	0	0	0	0	0	0	0	1
84	0	0	0	0	0	0	0	1
84	0	0	0	0	0	0	0	1
85	0	0	0	0	0	0	0	1
85	0	0	0	0	0	0	0	1
85	0	0	0	0	0	0	0	1
86	0	0	0	0	0	0	0	1
86	0	0	0	0	0	0	0	1
87	0	0	0	0	0	0	0	1
87	0	0	0	0	0	0	0	1
87	0	0	0	0	0	0	0	1
88	0	0	0	0	0	0	0	1
88	0	0	0	0	0	0	0	1
88	0	0	0	0	0	0	0	1
88	0	0	0	0	0	0	0	1
89	0	0	0	0	0	0	0	1
92	0	0	0	0	0	0	0	1
92	0	0	0	0	0	0	0	1
93	0	0	0	0	0	0	0	1
94	0	0	0	0	0	0	0	1
94	0	0	0	0	0	0	0	1
95	0	0	0	0	0	0	0	1
95	0	0	0	0	0	0	0	1
96	0	0	0	0	0	0	0	1
96	0	0	0	0	0	0	0	1
97	0	0	0	0	0	0	0	1
97	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
98	0	0	0	0	0	0	0	1
99	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	0	0	0	0	0	0	0	1
100	1	0	0	0	0	0	0	1
100	1	0	0	0	0	0	0	1
100	2	0	0	0	0	0	0	1
100	2	0	0	0	0	0	0	1
100	2	0	0	0	0	0	0	1
100	2	0	0	0	0	0	0	1
100	2	0	0	0	0	0	0	1
100	3	0	0	0	0	0	0	1
100	3	0	0	0	0	0	0	1
100	3	0	0	0	0	0	0	1
100	3	0	0	0	0	0	0	1
100	3	0	0	0	0	0	0	1
100	4	0	0	0	0	0	0	1
100	4	0	0	0	0	0	0	1
100	4	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	5	0	0	0	0	0	0	1
100	6	0	0	0	0	0	0	1
100	6	0	0	0	0	0	0	1
100	7	0	0	0	0	0	0	1
100	8	0	0	0	0	0	0	1
100	8	0	0	0	0	0	0	1
100	8	0	0	0	0	0	0	1
100	9	0	0	0	0	0	0	1
100	9	0	0	0	0	0	0	1
100	9	0	0	0	0	0	0	1
100	9	0	0	0	0	0	0	1
100	10	0	0	0	0	0	0	1
100	11	0	0	0	0	0	0	1
100	12	0	0	0	0	0	0	1
100	12	0	0	0	0	0	0	1
100	12	0	0	0	0	0	0	1
100	13	0	0	0	0	0	0	1
100	13	0	0	0	0	0	0	1
100	13	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	15	0	0	0	0	0	0	1
100	15	0	0	0	0	0	0	1
100	15	0	0	0	0	0	0	1
100	15	0	0	0	0	0	0	1
100	15	0	0	0	0	0	0	1
100	16	0	0	0	0	0	0	1
100	16	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	18	0	0	0	0	0	0	1
100	18	0	0	0	0	0	0	1
100	18	0	0	0	0	0	0	1
100	18	0	0	0	0	0	0	1
100	19	0	0	0	0	0	0	1
100	19	0	0	0	0	0	0	1
100	19	0	0	0	0	0	0	1
100	20	0	0	0	0	0	0	1
100	20	0	0	0	0	0	0	1
100	20	0	0	0	0	0	0	1
100	20	0	0	0	0	0	0	1
100	21	0	0	0	0	0	0	1
100	21	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	22	0	0	0	0	0	0	1
100	21	0	0	0	0	0	0	1
100	20	0	0	0	0	0	0	1
100	17	0	0	0	0	0	0	1
100	16	0	0	0	0	0	0	1
100	15	0	0	0	0	0	0	1
100	15	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	0	0	0	0	0	0	1
100	14	1	0	0	0	0	0	1
100	14	2	0	0	0	0	0	1
100	14	2	0	0	0	0	0	1
100	14	2	0	0	0	0	0	1
100	14	2	0	0	0	0	0	1
100	14	2	0	0	0	0	0	1
100	14	2	0	0	0	0	0	1
100	14	3	0	0	0	0	0	1
100	14	3	0	0	0	0	0	1
100	14	3	0	0	0	0	0	1
100	14	3	0	0	0	0	0	1
100	14	4	0	0	0	0	0	1
100	14	5	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	8	0	0	0	0	0	1
100	14	8	0	0	0	0	0	1
100	14	9	0	0	0	0	0	1
100	14	9	0	0	0	0	0	1
100	14	9	0	0	0	0	0	1
100	14	9	0	0	0	0	0	1
100	14	9	0	0	0	0	0	1
100	14	10	0	0	0	0	0	1
100	14	10	0	0	0	0	0	1
100	14	10	0	0	0	0	0	1
100	14	10	0	0	0	0	0	1
100	14	11	0	0	0	0	0	1
100	14	11	0	0	0	0	0	1
100	14	11	0	0	0	0	0	1
100	14	10	0	0	0	0	0	1
100	14	8	0	0	0	0	0	1
100	14	8	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	0	0	0	0	0	1
100	14	6	1	0	0	0	0	1
100	14	6	1	0	0	0	0	1
100	14	6	2	0	0	0	0	1
100	14	6	2	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	4	0	0	0	0	1
100	14	6	5	0	0	0	0	1
100	14	6	5	0	0	0	0	1
100	14	6	6	0	0	0	0	1
100	14	6	6	0	0	0	0	1
100	14	6	6	0	0	0	0	1
100	14	6	6	0	0	0	0	1
100	14	6	6	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	7	0	0	0	0	1
100	14	6	6	0	0	0	0	1
100	14	6	5	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	14	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	0	0	0	1
100	15	6	3	0	1	0	0	1
100	15	6	3	0	1	0	0	1
100	15	6	3	0	1	0	0	1
100	15	6	3	0	1	0	0	1
100	15	6	3	0	1	0	0	1
100	15	6	3	0	2	0	0	1
100	15	6	3	0	2	0	0	1
100	15	6	3	0	2	0	0	1
100	15	6	3	0	2	0	0	1
100	15	6	3	0	2	0	0	1
100	15	6	3	0	3	0	0	1
100	15	6	3	0	3	0	0	1
100	15	6	3	0	3	0	0	1
100	15	6	3	0	4	0	0	1
100	15	6	3	0	4	0	0	1
100	15	6	3	0	5	0	0	1
100	15	6	3	0	6	0	0	1
100	15	6	3	0	6	0	0	1
100	15	6	3	0	6	0	0	1
100	15	6	3	0	6	0	0	1
100	15	6	3	0	6	0	0	1
100	15	6	3	0	6	0	0	1
100	15	6	3	0	6	0	0	1
100	15	6	3	0	7	0	0	1
100	15	6	3	0	7	0	0	1
100	15	6	3	0	8	0	0	1
100	15	6	3	0	8	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	9	0	0	1
100	15	6	3	0	10	0	0	1
100	15	6	3	0	10	0	0	1
100	15	6	3	0	10	0	0	1
100	15	6	3	0	10	0	0	1
100	15	6	3	0	11	0	0	1
100	15	6	3	0	11	0	0	1
100	15	6	3	0	11	0	0	1
100	15	6	3	0	11	0	0	1
100	15	6	3	0	11	0	0	1
100	15	6	3	0	11	0	0	1
100	15	6	3	0	12	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	13	0	0	1
100	15	6	3	0	14	0	0	1
100	15	6	3	0	14	0	0	1
100	15	6	3	0	14	0	0	1
100	15	6	3	0	15	0	0	1
100	15	6	3	0	15	0	0	1
100	15	6	3	0	15	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	16	0	0	1
100	15	6	3	0	17	0	0	1
100	15	6	3	0	17	0	0	1
100	15	6	3	0	17	0	0	1
100	15	6	3	0	17	0	0	1
100	15	6	3	0	17	0	0	1
100	15	6	3	0	18	0	0	1
100	15	6	3	0	18	0	0	1
100	15	6	3	0	19	0	0	1
100	15	6	3	0	19	0	0	1
100	15	6	3	0	19	0	0	1
100	15	6	3	0	20	0	0	1
100	15	6	3	0	20	0	0	1
100	15	6	3	0	20	0	0	1
100	15	6	3	0	20	0	0	1
100	15	6	3	0	21	0	0	1
100	15	6	3	0	22	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	23	0	0	1
100	15	6	3	0	24	0	0	1
100	15	6	3	0	24	0	0	1
100	15	6	3	0	25	0	0	1
100	15	6	3	0	26	0	0	1
100	15	6	3	0	27	0	0	1
100	15	6	3	0	27	0	0	1
100	15	6	3	0	28	0	0	1
100	15	6	3	0	28	0	0	1
100	15	6	3	0	28	0	0	1
100	15	6	3	0	29	0	0	1
100	15	6	3	0	29	0	0	1
100	15	6	3	0	30	0	0	1
100	15	6	3	0	30	0	0	1
100	15	6	3	0	30	0	0	1
100	15	6	3	0	30	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	31	0	0	1
100	15	6	3	0	32	0	0	1
100	15	6	3	0	33	0	0	1
100	15	6	3	0	35	0	0	1
100	15	6	3	0	35	0	0	1
100	15	6	3	0	35	0	0	1
100	15	6	3	0	35	0	0	1
100	15	6	3	0	36	0	0	1
100	15	6	3	0	36	0	0	1
100	15	6	3	0	36	0	0	1
100	15	6	3	0	37	0	0	1
100	15	6	3	0	38	0	0	1
100	15	6	3	0	38	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	39	0	0	1
100	15	6	3	0	40	0	0	1
100	15	6	3	0	40	0	0	1
100	15	6	3	0	40	0	0	1
100	15	6	3	0	40	0	0	1
100	15	6	3	0	40	0	0	1
100	15	6	3	0	41	0	0	1
100	15	6	3	0	41	0	0	1
100	15	6	3	0	41	0	0	1
100	15	6	3	0	41	0	0	1
100	15	6	3	0	41	0	0	1
100	15	6	3	0	42	0	0	1
100	15	6	3	0	42	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	43	0	0	1
100	15	6	3	0	44	0	0	1
100	15	6	3	0	44	0	0	1
100	15	6	3	0	45	0	0	1
100	15	6	3	0	45	0	0	1
100	15	6	3	0	46	0	0	1
100	15	6	3	0	46	0	0	1
100	15	6	3	0	46	0	0	1
100	15	6	3	0	47	0	0	1
100	15	6	3	0	47	0	0	1
100	15	6	3	0	48	0	0	1
100	15	6	3	0	48	0	0	1
100	15	6	3	0	48	0	0	1
100	15	6	3	0	49	0	0	1
100	15	6	3	0	49	0	0	1
100	15	6	3	0	49	0	0	1
100	15	6	3	0	49	0	0	1
